,batter_id,batter_mlbname
3965,605141.0,Mookie Betts
3944,643217.0,Andrew Benintendi
3843,434670.0,Hanley Ramirez
3786,622110.0,Matt Duffy
3723,595281.0,Kevin Kiermaier
3679,460576.0,Carlos Gomez
3616,502110.0,J.D. Martinez
3561,593428.0,Xander Bogaerts
3497,646240.0,Rafael Devers
3485,456488.0,Eduardo Nunez
3458,598265.0,Jackie Bradley Jr.
3407,543877.0,Christian Vazquez
3288,543068.0,C.J. Cron
3249,467092.0,Wilson Ramos
3184,452655.0,Denard Span
3137,588751.0,Adeiny Hechavarria
3051,621002.0,Daniel Robertson
2905,0.0,Rob Refsnyder
864,543543.0,Brad Miller
679,621563.0,Joey Wendle
3966,664023.0,Ian Happ
3909,592178.0,Kris Bryant
3868,519203.0,Anthony Rizzo
3772,575929.0,Willson Contreras
3707,656941.0,Kyle Schwarber
3676,608365.0,Addison Russell
3633,518792.0,Jason Heyward
3601,595879.0,Javier Baez
3544,0.0,Jon Lester
3521,621446.0,Lewis Brinson
3461,518618.0,Derek Dietrich
3387,516770.0,Starlin Castro
3312,571506.0,Justin Bour
3292,605119.0,Brian Anderson
3274,0.0,Garrett Cooper
3014,500743.0,Miguel Rojas
2944,0.0,
2891,0.0,Jose Urena
2093,457727.0,Cameron Maybin
1748,0.0,Steve Cishek
1514,0.0,Tomas Telis
660,600303.0,Tommy La Stella
188,546991.0,Albert Almora
3955,660162.0,Yoan Moncada
3923,541645.0,Avisail Garcia
3888,547989.0,Jose Abreu
3852,445055.0,Jon Jay
3746,593160.0,Whit Merrifield
3719,519058.0,Mike Moustakas
3686,446263.0,Lucas Duda
3585,596144.0,Cheslor Cuthbert
3503,624585.0,Jorge Soler
3487,460086.0,Alex Gordon
3451,444876.0,Alcides Escobar
3354,571602.0,Matt Davidson
3280,547170.0,Nicky Delmonico
3215,456078.0,Welington Castillo
3210,641313.0,Tim Anderson
3144,460077.0,Drew Butera
3006,570560.0,Yolmer Sanchez
2938,641553.0,Adam Engel
1034,544725.0,Leury Garcia
3964,596019.0,Francisco Lindor
3946,543401.0,Jason Kipnis
3863,608070.0,Jose Ramirez
3792,543829.0,Dee Gordon
3755,516416.0,Jean Segura
3738,429664.0,Robinson Cano
3724,443558.0,Nelson Cruz
3702,572122.0,Kyle Seager
3643,475174.0,Yonder Alonso
3514,0.0,Lonnie Chisenhall
3434,543228.0,Yan Gomes
3392,571980.0,Tyler Naquin
3370,571745.0,Mitch Haniger
3324,592387.0,Ryon Healy
3234,605548.0,Bradley Zimmer
3060,0.0,Ichiro Suzuki
2910,429665.0,Edwin Encarnacion
1365,628338.0,Guillermo Heredia
3938,453568.0,Charlie Blackmon
3881,518934.0,DJ LeMahieu
3831,571448.0,Nolan Arenado
3777,596115.0,Trevor Story
3733,471865.0,Carlos Gonzalez
3654,444482.0,David Peralta
3629,572041.0,A.J. Pollock
3539,502671.0,Paul Goldschmidt
3533,571875.0,Jake Lamb
3476,606466.0,Ketel Marte
3402,488671.0,Alex Avila
3358,605113.0,Nick Ahmed
3331,435622.0,Ian Desmond
3299,467827.0,Gerardo Parra
3207,455104.0,Chris Iannetta
3148,0.0,Jon Gray
3075,502481.0,Jarrod Dyson
3019,0.0,Patrick Corbin
1362,572008.0,Chris Owings
703,0.0,Deven Marrero
299,518614.0,Daniel Descalso
155,641857.0,Ryan McMahon
3952,543807.0,George Springer
3940,608324.0,Alex Bregman
3894,514888.0,Jose Altuve
3823,621043.0,Carlos Correa
3765,503556.0,Marwin Gonzalez
3711,592261.0,Delino DeShields
3695,608336.0,Joey Gallo
3688,462101.0,Elvis Andrus
3626,502210.0,Josh Reddick
3552,594828.0,Evan Gattis
3506,545350.0,Jake Marisnick
3456,134181.0,Adrian Beltre
3410,608577.0,Nomar Mazara
3347,425783.0,Shin-Soo Choo
3255,455139.0,Robinson Chirinos
3239,435263.0,Brian McCann
2922,596059.0,Rougned Odor
2864,607387.0,Ryan Rua
3928,446359.0,Zack Cozart
3885,545361.0,Mike Trout
3828,457708.0,Justin Upton
3806,459964.0,Matt Joyce
3794,543760.0,Marcus Semien
3668,501981.0,Khris Davis
3593,621566.0,Matt Olson
3567,405395.0,Albert Pujols
3518,594777.0,Kole Calhoun
3471,592743.0,Andrelton Simmons
3445,472528.0,Luis Valbuena
3416,660271.0,Shohei Ohtani
3373,455117.0,Martin Maldonado
3273,572039.0,Stephen Piscotty
3242,656305.0,Matt Chapman
3175,518960.0,Jonathan Lucroy
3107,0.0,Boog Powell
2785,476704.0,Jed Lowrie
3960,456715.0,Lorenzo Cain
3903,592885.0,Christian Yelich
3874,460075.0,Ryan Braun
3811,622534.0,Manuel Margot
3780,571976.0,Wil Myers
3700,543333.0,Eric Hosmer
3648,543768.0,Travis Shaw
3637,570267.0,Domingo Santana
3634,444489.0,Manny Pina
3587,517369.0,Jose Pirela
3564,641319.0,Carlos Asuaje
3468,0.0,Chase Headley
3415,520471.0,Freddy Galvis
3368,542340.0,Jonathan Villar
3334,606115.0,Orlando Arcia
3260,0.0,Chase Anderson
3034,595978.0,Austin Hedges
2987,0.0,Clayton Richard
1438,592669.0,Hunter Renfroe
1354,0.0,Eric Sogard
806,519346.0,Eric Thames
601,542583.0,Jesus Aguilar
396,605486.0,Cory Spangenberg
81,596847.0,Ji-Man Choi
65,541650.0,Hernan Perez
3962,572821.0,Brian Dozier
3920,408045.0,Joe Mauer
3849,593934.0,Miguel Sano
3762,448801.0,Chris Davis
3756,592518.0,Manny Machado
